month,avg_review_score
2016-09,1.0
2016-10,4.018939393939394
2016-12,5.0
2017-01,4.205882352941177
2017-02,4.20351302241066
2017-03,4.184500393391031
2017-04,4.1363240418118465
2017-05,4.2377602701181765
2017-06,4.222469764481223
2017-07,4.253735188047398
2017-08,4.309246493938674
2017-09,4.267857142857143
2017-10,4.2051855163164955
2017-11,3.989026063100137
2017-12,4.090577729178057
2018-01,4.108322699560471
2018-02,3.8831740251858595
2018-03,3.812195820211852
2018-04,4.205530090196659
2018-05,4.235809806835067
2018-06,4.307515211313929
2018-07,4.3191142950179096
2018-08,4.310486418193304
